2JH0196,HONDA,JUNTA HOMOCINETICA,JUN HOM HON Civic CRX/DX/Si (88/91) Exc.hatchback
2JH0197,HONDA,JUNTA HOMOCINETICA,JUN HOM HON Legend - Acura - Accord 1.8/ 2.0 (89/…)
2JH0198,HONDA,JUNTA HOMOCINETICA,JUN HOM HON Prelude (81-82) - Accord desde (2/81)
2JH0199,HONDA,JUNTA HOMOCINETICA,JUN HOM HON Prelude (85/87) - Accord (85/89)
2JH0200,HYUNDAI,JUNTA HOMOCINETICA,JUN HOM HYU Accent (96/...) s/ABS
2JH0201,KIA,JUNTA HOMOCINETICA,JUN HOM KIA Sephia 1.6/ 1.8 16v. SOHC
2JH0202,LADA,JUNTA HOMOCINETICA,JUN HOM LADA Niva
2JH0203,LADA,JUNTA HOMOCINETICA,JUN HOM LADA Samara
2JH0204,MAZDA,JUNTA HOMOCINETICA,JUN HOM MAZ 323 (82/89)
2JH0205,MAZDA,JUNTA HOMOCINETICA,JUN HOM MAZ 323 - Miata (89/92) - MX3 (90/93)
2JH0206,MAZDA,JUNTA HOMOCINETICA,JUN HOM MAZ 323 - Miata (89/92) - MX3 (90/93) c/ABS 44D
2JH0207,MAZDA,JUNTA HOMOCINETICA,JUN HOM MAZ 626 2.0 (83/87) s/ABS
2JH0208,MAZDA,JUNTA HOMOCINETICA,JUN HOM MAZ 626 1.8 (83/87) s/ABS
2JH0209,MAZDA,JUNTA HOMOCINETICA,JUN HOM MAZ 626  2.0 M/T (92/94)
2JH0210,MAZDA,JUNTA HOMOCINETICA,JUN HOM MAZ 626  2.0 M/T c/ABS 44D (92/94)
2JH0211,NISSAN,JUNTA HOMOCINETICA,JUN HOM NIS 626  4 CIL. (90/92)
2JH0212,MAZDA,JUNTA HOMOCINETICA,JUN HOM MAZ 626  4 CIL c/ABS 90D
2JH0213,MAZDA,JUNTA HOMOCINETICA,JUN HOM MAZ MX3  6 CIL V6
2JH0214,LADA,JUNTA HOMOCINETICA,JUN HOM MAZ MX3  6 CIL V6 c/ABS 44D
2JH0215,HYUNDAI,JUNTA HOMOCINETICA,JUN HOM HYU Elantra (93/…)
2JH0215,MITSUBISHI,JUNTA HOMOCINETICA,JUN HOM MIT Galant  4 CIL /
2JH0216,MITSUBISHI,JUNTA HOMOCINETICA,JUN HOM MIT Lancer (92/95) s/ABS
2JH0218,NISSAN,JUNTA HOMOCINETICA,JUN HOM NIS Primera 1.6
2JH0219,NISSAN,JUNTA HOMOCINETICA,JUN HOM NIS Primera 2.0
2JH0220,SUBARU,JUNTA HOMOCINETICA,JUN HOM SUBARU 4X4  TODOS
2JH0221,SUBARU,JUNTA HOMOCINETICA,JUN HOM SUB Impreza 4X2
2JH0222,SUBARU,JUNTA HOMOCINETICA,JUN HOM SUB Legacy 4x2
2JH0223,SUBARU,JUNTA HOMOCINETICA,JUN HOM SUB Legacy 4X4 - Impreza 4X4
2JH0224,SUZUKI,JUNTA HOMOCINETICA,JUN HOM SUZ Alto
2JH0225,SUZUKI,JUNTA HOMOCINETICA,JUN HOM SUZ Baleno
2JH0226,SUZUKI,JUNTA HOMOCINETICA,JUN HOM SUZ Swift 1300GTI /1600
2JH0227,TOYOTA,JUNTA HOMOCINETICA,JUN HOM TOY Camry 2.0 4 CIL
2JH0228,TOYOTA,JUNTA HOMOCINETICA,JUN HOM TOY Camry V6 (made in USA) c/ABS 48D
2JH0229,TOYOTA,JUNTA HOMOCINETICA,JUN HOM TOY Corolla
2JH0230,TOYOTA,JUNTA HOMOCINETICA,JUN HOM TOY Corolla
2JH0231,VOLKSWAGEN,JUNTA HOMOCINETICA,JUN HOM VW Bora - Golf IV - New Beetle - Audi A3
2JH0232,FIAT,JUNTA HOMOCINETICA,JUN HOM FIAT Tipo - Tempra 1.6 (90/94)
2JH0233,FORD,JUNTA HOMOCINETICA,JUN HOM FORD Focus 1.4/ 1.6/ 1.8/ 2.0
2JH0234,FORD,JUNTA HOMOCINETICA,JUN HOM FORD Fiesta (03/…)
2JH0236,PEUGEOT,JUNTA HOMOCINETICA,JUN HOM PEU 306 - 405 - 406 c/ABS 29D
2JH0238,RENAULT,JUNTA HOMOCINETICA,JUN HOM REN R4 - R6
2JH0239,RENAULT,JUNTA HOMOCINETICA,JUN HOM REN Trafic 23-28 estrías
2JH0240,VOLKSWAGEN,JUNTA HOMOCINETICA,JUN HOM VW Gol 1.0
2JH0241,RENAULT,JUNTA HOMOCINETICA,JUN HOM REN Clio II
2JH0242,VOLKSWAGEN,JUNTA HOMOCINETICA,JUN HOM VW Transporter 2.5
2JH0243,PEUGEOT,JUNTA HOMOCINETICA,JUN HOM PEU 406 s/ABS - 605 3.0 ABS 48D
2JH0244,PEUGEOT,JUNTA HOMOCINETICA,JUN HOM PEU 406 c/ABS - 605 3.0 ABS 29D
2JH0245,CITROEN,JUNTA HOMOCINETICA,JUN HOM CIT C15 1.4
2JH0254,RENAULT,JUNTA HOMOCINETICA,JUN HOM REN Clio- Kangoo
2JH0255,CHEVROLET,JUNTA HOMOCINETICA,JUN HOM CHEV Corsa 1.7 diesel
